timestamp_s,utc_iso,arbitration_id,dlc,data_hex,label,source,send_to_recv_latency_s,note
0.001567,2026-06-04T12:19:09.172927+00:00,100,8,46 00 00 00 00 00 00 00,python_can_virtual_baseline,011_python_can_virtual_bus,0.000104,python_can_virtual_bus_no_vehicle_no_adapter
0.001664,2026-06-04T12:19:09.173009+00:00,120,8,06 A8 00 00 00 00 00 01,python_can_virtual_baseline,011_python_can_virtual_bus,0.000047,python_can_virtual_bus_no_vehicle_no_adapter
0.001711,2026-06-04T12:19:09.173056+00:00,188,8,00 00 00 00 00 00 00 02,python_can_virtual_baseline,011_python_can_virtual_bus,0.000025,python_can_virtual_bus_no_vehicle_no_adapter
0.001771,2026-06-04T12:19:09.173116+00:00,300,8,EA 5F AE DC B7 08 26 82,python_can_virtual_baseline,011_python_can_virtual_bus,0.000040,python_can_virtual_bus_no_vehicle_no_adapter
0.050365,2026-06-04T12:19:09.221735+00:00,100,8,3C 00 00 00 00 00 00 04,python_can_virtual_baseline,011_python_can_virtual_bus,0.000180,python_can_virtual_bus_no_vehicle_no_adapter
0.050488,2026-06-04T12:19:09.221833+00:00,188,8,00 00 00 00 00 00 00 05,python_can_virtual_baseline,011_python_can_virtual_bus,0.000036,python_can_virtual_bus_no_vehicle_no_adapter
0.070334,2026-06-04T12:19:09.241691+00:00,120,8,06 7E 00 00 00 00 00 06,python_can_virtual_baseline,011_python_can_virtual_bus,0.000138,python_can_virtual_bus_no_vehicle_no_adapter
0.100272,2026-06-04T12:19:09.271630+00:00,100,8,49 00 00 00 00 00 00 07,python_can_virtual_baseline,011_python_can_virtual_bus,0.000161,python_can_virtual_bus_no_vehicle_no_adapter
0.100354,2026-06-04T12:19:09.271696+00:00,188,8,00 00 00 00 00 00 00 08,python_can_virtual_baseline,011_python_can_virtual_bus,0.000023,python_can_virtual_bus_no_vehicle_no_adapter
0.140305,2026-06-04T12:19:09.311662+00:00,120,8,05 99 00 00 00 00 00 09,python_can_virtual_baseline,011_python_can_virtual_bus,0.000168,python_can_virtual_bus_no_vehicle_no_adapter
0.150238,2026-06-04T12:19:09.321589+00:00,100,8,4B 00 00 00 00 00 00 0A,python_can_virtual_baseline,011_python_can_virtual_bus,0.000137,python_can_virtual_bus_no_vehicle_no_adapter
0.150308,2026-06-04T12:19:09.321650+00:00,188,8,00 00 00 00 00 00 00 0B,python_can_virtual_baseline,011_python_can_virtual_bus,0.000026,python_can_virtual_bus_no_vehicle_no_adapter
0.200460,2026-06-04T12:19:09.371817+00:00,100,8,46 00 00 00 00 00 00 0C,python_can_virtual_baseline,011_python_can_virtual_bus,0.000343,python_can_virtual_bus_no_vehicle_no_adapter
0.200538,2026-06-04T12:19:09.371880+00:00,188,8,00 00 00 00 00 00 00 0D,python_can_virtual_baseline,011_python_can_virtual_bus,0.000024,python_can_virtual_bus_no_vehicle_no_adapter
0.210277,2026-06-04T12:19:09.381631+00:00,120,8,06 C3 00 00 00 00 00 0E,python_can_virtual_baseline,011_python_can_virtual_bus,0.000143,python_can_virtual_bus_no_vehicle_no_adapter
0.250289,2026-06-04T12:19:09.421644+00:00,100,8,47 00 00 00 00 00 00 0F,python_can_virtual_baseline,011_python_can_virtual_bus,0.000152,python_can_virtual_bus_no_vehicle_no_adapter
0.250376,2026-06-04T12:19:09.421719+00:00,188,8,00 00 00 00 00 00 00 10,python_can_virtual_baseline,011_python_can_virtual_bus,0.000031,python_can_virtual_bus_no_vehicle_no_adapter
0.250432,2026-06-04T12:19:09.421777+00:00,300,8,6C 9B 23 A1 90 02 D5 E5,python_can_virtual_baseline,011_python_can_virtual_bus,0.000040,python_can_virtual_bus_no_vehicle_no_adapter
0.280387,2026-06-04T12:19:09.451750+00:00,120,8,06 BA 00 00 00 00 00 12,python_can_virtual_baseline,011_python_can_virtual_bus,0.000185,python_can_virtual_bus_no_vehicle_no_adapter
0.300402,2026-06-04T12:19:09.471757+00:00,100,8,4B 00 00 00 00 00 00 13,python_can_virtual_baseline,011_python_can_virtual_bus,0.000131,python_can_virtual_bus_no_vehicle_no_adapter
0.300480,2026-06-04T12:19:09.471823+00:00,188,8,00 00 00 00 00 00 00 14,python_can_virtual_baseline,011_python_can_virtual_bus,0.000023,python_can_virtual_bus_no_vehicle_no_adapter
0.350320,2026-06-04T12:19:09.521681+00:00,100,8,3D 00 00 00 00 00 00 15,python_can_virtual_baseline,011_python_can_virtual_bus,0.000136,python_can_virtual_bus_no_vehicle_no_adapter
0.350424,2026-06-04T12:19:09.521768+00:00,188,8,00 00 00 00 00 00 00 16,python_can_virtual_baseline,011_python_can_virtual_bus,0.000033,python_can_virtual_bus_no_vehicle_no_adapter
0.350472,2026-06-04T12:19:09.521815+00:00,120,8,06 0C 00 00 00 00 00 17,python_can_virtual_baseline,011_python_can_virtual_bus,0.000028,python_can_virtual_bus_no_vehicle_no_adapter
0.400313,2026-06-04T12:19:09.571676+00:00,100,8,3D 00 00 00 00 00 00 18,python_can_virtual_baseline,011_python_can_virtual_bus,0.000143,python_can_virtual_bus_no_vehicle_no_adapter
0.400462,2026-06-04T12:19:09.571807+00:00,188,8,00 00 00 00 00 00 00 19,python_can_virtual_baseline,011_python_can_virtual_bus,0.000037,python_can_virtual_bus_no_vehicle_no_adapter
