experiment_id,timestamp_epoch_s,relative_time_s,attack_label,arbitration_id,dlc,payload_hex,semantic_label,source_component,decoded_speed_kmh,notes
009_icsim_spoof_injection,1398128224.653317,0.850000,spoofed_injection,244,8,0000E9BE00AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,190,ATTACK spoofed ICSim speed=190km/h intensity=medium
009_icsim_spoof_injection,1398128224.656317,0.853000,spoofed_injection,19B,8,D9000000000000D9,spoofed_icsim_doors,icsim_spoof_injector_medium,,ATTACK spoofed ICSim doors_state=0x0 intensity=medium
009_icsim_spoof_injection,1398128224.659317,0.856000,spoofed_injection,188,8,03C90000000000C9,spoofed_icsim_turn_signals,icsim_spoof_injector_medium,,ATTACK spoofed ICSim turn_signal_state=0x3 intensity=medium
009_icsim_spoof_injection,1398128224.693317,0.890000,spoofed_injection,244,8,0000E9C100AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,193,ATTACK spoofed ICSim speed=193km/h intensity=medium
009_icsim_spoof_injection,1398128224.733317,0.930000,spoofed_injection,244,8,0000E9C400AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,196,ATTACK spoofed ICSim speed=196km/h intensity=medium
009_icsim_spoof_injection,1398128224.773317,0.970000,spoofed_injection,244,8,0000E9C700AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,199,ATTACK spoofed ICSim speed=199km/h intensity=medium
009_icsim_spoof_injection,1398128224.813317,1.010000,spoofed_injection,244,8,0000E9CA00AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,202,ATTACK spoofed ICSim speed=202km/h intensity=medium
009_icsim_spoof_injection,1398128224.853317,1.050000,spoofed_injection,244,8,0000E9BE00AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,190,ATTACK spoofed ICSim speed=190km/h intensity=medium
009_icsim_spoof_injection,1398128224.856317,1.053000,spoofed_injection,19B,8,D9000000000000D9,spoofed_icsim_doors,icsim_spoof_injector_medium,,ATTACK spoofed ICSim doors_state=0x0 intensity=medium
009_icsim_spoof_injection,1398128224.893317,1.090000,spoofed_injection,244,8,0000E9C100AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,193,ATTACK spoofed ICSim speed=193km/h intensity=medium
009_icsim_spoof_injection,1398128224.933317,1.130000,spoofed_injection,244,8,0000E9C400AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,196,ATTACK spoofed ICSim speed=196km/h intensity=medium
009_icsim_spoof_injection,1398128224.939317,1.136000,spoofed_injection,188,8,03C90000000000C9,spoofed_icsim_turn_signals,icsim_spoof_injector_medium,,ATTACK spoofed ICSim turn_signal_state=0x3 intensity=medium
009_icsim_spoof_injection,1398128224.973317,1.170000,spoofed_injection,244,8,0000E9C700AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,199,ATTACK spoofed ICSim speed=199km/h intensity=medium
009_icsim_spoof_injection,1398128225.013317,1.210000,spoofed_injection,244,8,0000E9CA00AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,202,ATTACK spoofed ICSim speed=202km/h intensity=medium
009_icsim_spoof_injection,1398128225.053317,1.250000,spoofed_injection,244,8,0000E9BE00AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,190,ATTACK spoofed ICSim speed=190km/h intensity=medium
009_icsim_spoof_injection,1398128225.056317,1.253000,spoofed_injection,19B,8,D9000000000000D9,spoofed_icsim_doors,icsim_spoof_injector_medium,,ATTACK spoofed ICSim doors_state=0x0 intensity=medium
009_icsim_spoof_injection,1398128225.093317,1.290000,spoofed_injection,244,8,0000E9C100AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,193,ATTACK spoofed ICSim speed=193km/h intensity=medium
009_icsim_spoof_injection,1398128225.133317,1.330000,spoofed_injection,244,8,0000E9C400AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,196,ATTACK spoofed ICSim speed=196km/h intensity=medium
009_icsim_spoof_injection,1398128225.173317,1.370000,spoofed_injection,244,8,0000E9C700AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,199,ATTACK spoofed ICSim speed=199km/h intensity=medium
009_icsim_spoof_injection,1398128225.213317,1.410000,spoofed_injection,244,8,0000E9CA00AA55E9,spoofed_icsim_speed,icsim_spoof_injector_medium,202,ATTACK spoofed ICSim speed=202km/h intensity=medium
