timestamp_s,utc_iso,arbitration_id,dlc,data_hex,label,source,note
0.000100,2026-06-04T11:57:34.760125+00:00,100,8,43 00 00 00 00 00 00 00,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.000127,2026-06-04T11:57:34.760145+00:00,188,8,00 00 00 00 00 00 00 01,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.000136,2026-06-04T11:57:34.760154+00:00,120,8,07 3D 00 00 00 00 00 02,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.000144,2026-06-04T11:57:34.760174+00:00,300,8,25 6B 0B 08 95 EA 6D 3A,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.050155,2026-06-04T11:57:34.810206+00:00,100,8,3C 00 00 00 00 00 00 04,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.050253,2026-06-04T11:57:34.810270+00:00,188,8,00 00 00 00 00 00 00 05,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.071509,2026-06-04T11:57:34.831556+00:00,120,8,06 3F 00 00 00 00 00 06,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.100155,2026-06-04T11:57:34.860200+00:00,100,8,45 00 00 00 00 00 00 07,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.100241,2026-06-04T11:57:34.860259+00:00,188,8,00 00 00 00 00 00 00 08,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.140103,2026-06-04T11:57:34.900149+00:00,120,8,07 08 00 00 00 00 00 09,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.150097,2026-06-04T11:57:34.910136+00:00,100,8,44 00 00 00 00 00 00 0A,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.150156,2026-06-04T11:57:34.910174+00:00,188,8,00 00 00 00 00 00 00 0B,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.200143,2026-06-04T11:57:34.960190+00:00,100,8,46 00 00 00 00 00 00 0C,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.200217,2026-06-04T11:57:34.960236+00:00,188,8,00 00 00 00 00 00 00 0D,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.210145,2026-06-04T11:57:34.970195+00:00,120,8,06 EE 00 00 00 00 00 0E,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.250135,2026-06-04T11:57:35.010180+00:00,100,8,3C 00 00 00 00 00 00 0F,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.250208,2026-06-04T11:57:35.010227+00:00,188,8,00 00 00 00 00 00 00 10,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.250221,2026-06-04T11:57:35.010262+00:00,300,8,60 92 40 BB 76 4B D9 A0,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.280129,2026-06-04T11:57:35.040180+00:00,120,8,06 AA 00 00 00 00 00 12,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.300124,2026-06-04T11:57:35.060168+00:00,100,8,3E 00 00 00 00 00 00 13,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.300196,2026-06-04T11:57:35.060214+00:00,188,8,00 00 00 00 00 00 00 14,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.350148,2026-06-04T11:57:35.110188+00:00,100,8,3F 00 00 00 00 00 00 15,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.350215,2026-06-04T11:57:35.110233+00:00,188,8,00 00 00 00 00 00 00 16,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.350223,2026-06-04T11:57:35.110242+00:00,120,8,07 49 00 00 00 00 00 17,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.400132,2026-06-04T11:57:35.160176+00:00,100,8,42 00 00 00 00 00 00 18,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.400200,2026-06-04T11:57:35.160219+00:00,188,8,00 00 00 00 00 00 00 19,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.420138,2026-06-04T11:57:35.180185+00:00,120,8,07 3B 00 00 00 00 00 1A,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.450128,2026-06-04T11:57:35.210171+00:00,100,8,3E 00 00 00 00 00 00 1B,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.450204,2026-06-04T11:57:35.210224+00:00,188,8,00 00 00 00 00 00 00 1C,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.490115,2026-06-04T11:57:35.250157+00:00,120,8,05 E1 00 00 00 00 00 1D,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.500130,2026-06-04T11:57:35.260173+00:00,100,8,40 00 00 00 00 00 00 1E,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.500197,2026-06-04T11:57:35.260216+00:00,188,8,00 00 00 00 00 00 00 1F,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.500208,2026-06-04T11:57:35.260246+00:00,300,8,1F EB 18 5E 4D 31 0C 90,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.550128,2026-06-04T11:57:35.310171+00:00,100,8,47 00 00 00 00 00 00 21,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.550206,2026-06-04T11:57:35.310224+00:00,188,8,00 00 00 00 00 00 00 22,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.560101,2026-06-04T11:57:35.320142+00:00,120,8,06 C0 00 00 00 00 00 23,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.600150,2026-06-04T11:57:35.360207+00:00,100,8,46 00 00 00 00 00 00 24,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.600234,2026-06-04T11:57:35.360252+00:00,188,8,00 00 00 00 00 00 00 25,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.630126,2026-06-04T11:57:35.390169+00:00,120,8,05 DE 00 00 00 00 00 26,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.650131,2026-06-04T11:57:35.410173+00:00,100,8,3F 00 00 00 00 00 00 27,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.650205,2026-06-04T11:57:35.410222+00:00,188,8,00 00 00 00 00 00 00 28,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.700112,2026-06-04T11:57:35.460155+00:00,100,8,46 00 00 00 00 00 00 29,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.700204,2026-06-04T11:57:35.460222+00:00,188,8,00 00 00 00 00 00 00 2A,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.700216,2026-06-04T11:57:35.460237+00:00,120,8,05 FC 00 00 00 00 00 2B,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.750165,2026-06-04T11:57:35.510208+00:00,100,8,44 00 00 00 00 00 00 2C,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
0.750229,2026-06-04T11:57:35.510246+00:00,188,8,00 00 00 00 00 00 00 2D,realtime_baseline,010_realtime_wallclock_capture,software_only_wallclock_capture_no_vehicle_no_can_adapter
